workKey,displayName,defaultPrice,note

WM_BASIC,基本作業,0,仮（後で実値に差し替え）

WM_001,詰まり除去,,
WM_002,高圧洗浄,,
WM_003,ローポンプ圧力除去,,
WM_004,トーラー,,
WM_010,混合水栓交換,,
WM_011,単水栓交換,,
WM_012,アングル水栓交換,,
WM_013,ストレート止水交換,,
WM_020,便器交換,,
WM_021,タンク交換,,
WM_022,ウォシュレット交換,,
WM_023,便座交換,,
WM_024,タンク内部品交換,,
WM_025,タンク周り部品交換,,
WM_030,洗面台交換,,
WM_031,ミラーキャビネット交換,,
WM_040,給湯器交換,,
WM_041,換気扇交換,,
WM_042,IHコンロ交換,,
WM_043,ガスコンロ交換,,
WM_050,洗濯パン交換,,
WM_060,排水管工事,,
WM_061,マス工事,,
WM_062,給水管工事,,
WM_063,散水栓交換工事,,
WM_064,保温材使用,,
WM_065,サドルバンド止め,,
WM_070,ユニットバスリフォーム工事,,
WM_071,システムキッチンリフォーム工事,,
WM_072,左官モルタル工事,,
WM_073,掘削埋め戻し工事,,
WM_074,内装工事,,
WM_075,大工工事,,
WM_076,電気工事,,
WM_077,外注,,
WM_900,見積のみ,,例外：0円/未記入でも完了可
WM_901,キャンセル,,例外：0円/未記入でも完了可
WM_902,無料対応,,例外：0円/未記入でも完了可

WM_080,部品交換,,（ホース/エルボ/パッキン等の小物）

